date,Japan,China,United States of America,South Korea,United Kingdom,Germany,France
2016/9/14,931761.85,,,,,,
2016/9/15,643080.97,,,,,,
2016/9/16,831827.02,,,,,,
2016/9/17,739291.21,,,,,,
2016/9/18,691556.88,,,,,,
2016/9/19,638375.64,,,,,,
2016/9/20,690771.38,,,,,,
2016/9/21,808717.22,,,,,,
2016/9/22,1165974.43,,,,,,
2016/9/23,1414021.41,,,,,,
2016/9/24,1611415.39,,,,,,
2016/9/25,1374775.06,,,,,,
2016/9/26,1283982.62,,,,,,
2016/9/27,1515351.96,,,,,,
2016/9/28,1492696.69,1200.37,,,,,
2016/9/29,1227937.59,195587.7,,,,,
2016/9/30,1083750.65,193915.5,,,,,
2016/10/1,1238404.14,178635.48,,,,,
2016/10/2,776149.29,143578.47,,,,,
2016/10/3,654232.53,111006.34,,,,,
2016/10/4,1179093.7,124725.66,,,,,
2016/10/5,2119874.63,115145.98,,,,,
2016/10/6,2430047,108022.02,,,,,
2016/10/7,2413461.28,102292.9,,,,,
2016/10/8,2665377.19,100481.79,,,,,
2016/10/9,2010186.84,119773.55,,,,,
2016/10/10,1807644.02,114527.73,,,,,
2016/10/11,1332192.05,95785.37,,,,,
2016/10/12,1177000.15,122694.01,,,,,
2016/10/13,1041979.3,123903.36,,,,,
2016/10/14,567208.35,101255.51,,,,,
2016/10/15,424047.62,145743.43,,,,,
2016/10/16,382575.78,357532.63,,,,,
2016/10/17,292720.66,273432.07,,,,,
2016/10/18,276293.3,207098.14,,,,,
2016/10/19,1793299.82,144826,,,,,
2016/10/20,2348776.7,120102.73,,,,,
2016/10/21,2079126.95,212352.84,,,,,
2016/10/22,1721708.22,202527.99,,,,,
2016/10/23,1728821.58,143739.7,,,,,
2016/10/24,1418426.88,79464.59,,,,,
2016/10/25,1095301.65,63714.92,,,,,
2016/10/26,899407.25,47750.52,,,,,
2016/10/27,571852.95,44039.77,,,,,
2016/10/28,369977.29,45891.1,,,,,
2016/10/29,377113.37,43679.67,,,,,
2016/10/30,341203.94,130175.23,,,,,
2016/10/31,319482.13,97323.29,,,,,
2016/11/1,581412.47,95028.04,,,,,
2016/11/2,522153.67,101918.02,,,,,
2016/11/3,515629.47,93369.13,,,,,
2016/11/4,455859.86,111346.98,,,,,
2016/11/5,493797.75,124521.93,,,,,
2016/11/6,441664.31,121063.82,,,,,
2016/11/7,437084.26,119209.22,,,,,
2016/11/8,444904.45,117105.35,,,,,
2016/11/9,1049394.59,84900.34,,,,,
2016/11/10,1242417.23,63271.12,,,,,
2016/11/11,944044.94,72089.39,,,,,
2016/11/12,706810.28,58472.09,,,,,
2016/11/13,579206.94,41517.74,,,,,
2016/11/14,554760.31,36622.63,,,,,
2016/11/15,611088.82,55736.01,,,,,
2016/11/16,937553.35,519313.49,,,,,
2016/11/17,952630.77,413431.78,,,,,
2016/11/18,507546.61,163436.13,,,,,
2016/11/19,482187.5,86228.08,,,,,
2016/11/20,406579.87,59868.21,,,,,
2016/11/21,341103.35,49627.77,,,,,
2016/11/22,385612.41,40721.71,,,,,
2016/11/23,399868.62,30222.56,,,,,
2016/11/24,297133.76,27879.41,,,,,
2016/11/25,324288.5,35121.32,,,,,
2016/11/26,429505.04,30960.08,,,,,
2016/11/27,706490.4,26427.07,,,,,
2016/11/28,1479900.96,23519.07,,,,,
2016/11/29,1788749.72,21153.07,,,,,
2016/11/30,1446444.87,25753.19,,,,,
2016/12/1,1732303.73,25880.55,,,,,
2016/12/2,1272894.81,202878.61,,,,,
2016/12/3,1263916.31,98996.57,,,,,
2016/12/4,1222537.83,56633.21,,,,,
2016/12/5,959597.96,47104.04,,,,,
2016/12/6,967386.77,36871.69,,,,,
2016/12/7,1456352.29,31395.46,,,,,
2016/12/8,2165471,81469.56,,,,,
2016/12/9,1776640.85,97074.47,,,,,
2016/12/10,1244683.63,66403.05,,,,,
2016/12/11,1107863.83,49317.95,,,,,
2016/12/12,918811.1,46265.78,,,,,
2016/12/13,903200.58,67343.06,,,,,
2016/12/14,1677842.94,1421093.66,,,,,
2016/12/15,1364694.43,806802.55,,,,,
2016/12/16,1085757.29,350509.66,,,,,
2016/12/17,779712.52,289445,,,,,
2016/12/18,829800.84,150687.88,,,,,
2016/12/19,592132.06,98000.17,,,,,
2016/12/20,568169.52,80473.1,,,,,
2016/12/21,804522.54,73708.7,,,,,
2016/12/22,1532456.48,50474.53,,,,,
2016/12/23,2335459.86,51438.36,,,,,
2016/12/24,1617289.62,69303.74,,,,,
2016/12/25,1565977.92,62237.23,,,,,
2016/12/26,1112098.17,56036.25,,,,,
2016/12/27,1011729.88,51833.91,,,,,
2016/12/28,762077.26,46991.88,,,,,
2016/12/29,569210.78,43051.95,,,,,
2016/12/30,945877.74,69924.44,,,,,
2016/12/31,1424420.01,120098.7,,,,,
2017/1/1,4234493.28,1791907.59,,,,,
2017/1/2,4548776.23,925446.24,,,,,
2017/1/3,3337861.97,508168.65,,,,,
2017/1/4,2557346.24,314017.19,,,,,
2017/1/5,1950914.22,270669.08,,,,,
2017/1/6,2153551.89,282526.56,,,,,
2017/1/7,2702450.65,292024.08,,,,,
2017/1/8,2419386.4,516986.49,,,,,
2017/1/9,2343505.44,425629.36,,,,,
2017/1/10,1646314.56,263848.96,,,,,
2017/1/11,2059434.2,200117.89,,,,,
2017/1/12,2502103.26,93984.49,,,,,
2017/1/13,2370244.27,83700.92,,,,,
2017/1/14,1754560.67,88229.43,,,,,
2017/1/15,1567045.53,63982.31,,,,,
2017/1/16,1224412.07,72003.36,,,,,
2017/1/17,1328010.12,66648.53,,,,,
2017/1/18,1057625.96,264259.19,,,,,
2017/1/19,1410832.07,167552.46,,,,,
2017/1/20,1612725.02,95420.72,,,,,
